save_as,product,brand,current_image_on_old_site,new_page
assets/products/iprobe.jpg,Axia iProbe IP-Audio Network Management Software,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-iProbe.jpg,/products/iprobe/
assets/products/iprofiler.jpg,Axia iProfiler Automated Program Archiving,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-iProfiler.jpg,/products/iprofiler/
assets/products/iq-aoip-mixing-console.jpg,Axia iQ AoIP Mixing Console,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-iQ.jpg,/products/iq-aoip-mixing-console/
assets/products/iq6.jpg,Telos iQ6 Six-Line Telco Gateway,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/telos-iQ6-front.jpg,/products/iq6/
assets/products/listbox.jpg,PlayBox ListBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-ListBox-logo.png,/products/listbox/
assets/products/litt.jpg,Yellowtec litt LED Signaling Device,Yellowtec,https://btsi.com.ph/wp-content/uploads/2018/08/yellowtec-litt.jpg,/products/litt/
assets/products/liveshot-portable.jpg,Comrex LiveShot Portable,Comrex,https://btsi.com.ph/wp-content/uploads/2018/08/Comrex-Liveshot-Portable.jpg,/products/liveshot-portable/
assets/products/liveshot-rackmount.jpg,Comrex LiveShot Rackmount,Comrex,https://btsi.com.ph/wp-content/uploads/2018/08/Comrex-Liveshot-Rackmount.jpg,/products/liveshot-rackmount/
assets/products/medium-power.jpg,Elenos FM Transmitters 3500W to 5000W,Elenos,https://btsi.com.ph/wp-content/uploads/2018/08/elenos-fm-medium-03.jpg,/products/medium-power/
assets/products/mex-ii.jpg,Itelco MEX II TV Exciters,Itelco,https://btsi.com.ph/wp-content/uploads/2018/08/itelco-mex-exciter.jpg,/products/mex-ii/
assets/products/mic-arm.jpg,Yellowtec m!ka Mic Arm,Yellowtec,https://btsi.com.ph/wp-content/uploads/2018/03/yt-micarm-on-air.jpg,/products/mic-arm/
assets/products/mix-kit-pulsar.jpg,Vicoustic Mix Kit Pulsar,Vicoustic,https://btsi.com.ph/wp-content/uploads/2018/08/vicoustic-mix-kit-pulsar_grande.jpg,/products/mix-kit-pulsar/
assets/products/mpm.jpg,PlayBox Multi Playout Manager,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-MPM-logo.png,/products/mpm/
assets/products/mpx.jpg,Omnia µMPX (Micro MPX) Standalone Software,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/Omnia-µMPX_FMTilt.jpg,/products/mpx/
assets/products/music.jpg,WinMedia Music,WinMedia,https://btsi.com.ph/wp-content/uploads/2018/08/winmedia-music.jpg,/products/music/
assets/products/northia.jpg,Itelco NORTHIA Liquid Cooled TX,Itelco,https://btsi.com.ph/wp-content/uploads/2018/08/itelco-northia.jpg,/products/northia/
assets/products/omnia-9-audio-processor.jpg,Omnia.9 Audio Processor,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-9.jpg,/products/omnia-9-audio-processor/
assets/products/omnia11.jpg,Omnia.11 Audio Processor,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-11.jpg,/products/omnia11/
assets/products/on-air.jpg,WinMedia On-Air,WinMedia,https://btsi.com.ph/wp-content/uploads/2018/08/winmedia-on-air.jpg,/products/on-air/
assets/products/pathfinder-core-pro.jpg,Axia Pathfinder Core PRO Routing Control Appliance,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-pathfinder.jpg,/products/pathfinder-core-pro/
assets/products/pathfinder-routing-control.jpg,Axia Pathfinder Routing Control,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-pathfinder-routing-software.jpg,/products/pathfinder-routing-control/
assets/products/playout.jpg,WinMedia Playout,WinMedia,https://btsi.com.ph/wp-content/uploads/2018/08/winmedia-playout.jpg,/products/playout/
assets/products/powerstation.jpg,Axia PowerStation Integrated Console Engine,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-powerstation.jpg,/products/powerstation/
assets/products/productionairbox.jpg,PlayBox ProductionAirBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-ProductionAirBox-logo.png,/products/productionairbox/
assets/products/qor16.jpg,Axia QOR.16 Integrated Console Engine,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-QOR16.jpg,/products/qor16/
assets/products/qor32.jpg,Axia QOR.32 Integrated Console Engine,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-QOR32.jpg,/products/qor32/
assets/products/r1.jpg,Telos Z/IPStream R/1,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/ZIPStream-R1-front.jpg,/products/r1/
assets/products/r2.jpg,Telos Z/IPStream R/2,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/ZIPStream-R2-front.jpg,/products/r2/
assets/products/radius.jpg,Axia Radius 8-Fader AoIP Mixing Console,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-radius.jpg,/products/radius/
assets/products/raq.jpg,Axia RAQ Rack-mount IP-Audio Console,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-RAQ.jpg,/products/raq/
assets/products/routing-control-panels.jpg,Axia Routing Control Panels,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-routing-controls.jpg,/products/routing-control-panels/
assets/products/safebox.jpg,PlayBox SafeBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-SafeBox-logo.png,/products/safebox/
assets/products/socialmediabox.jpg,PlayBox SocialMediaBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-SocialMediaBox-logo.png,/products/socialmediabox/
assets/products/softsurface.jpg,Axia SoftSurface,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-SoftSurface.jpg,/products/softsurface/
assets/products/sst.jpg,OmniaSST Audio Processing Software,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-SST-main.jpg,/products/sst/
assets/products/studio-control-panels.jpg,Axia Studio Control Panels,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-studio-control-panels.jpg,/products/studio-control-panels/
assets/products/studioengine.jpg,Axia StudioEngine DSP Mixing Engine,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-studioengine.jpg,/products/studioengine/
assets/products/super-kit-md55.jpg,Vicoustic Super Kit MD55,Vicoustic,https://btsi.com.ph/wp-content/uploads/2018/08/vicoustic-super-kit-md55.jpg,/products/super-kit-md55/
assets/products/thalna.jpg,Itelco THALNA Air Cooled TX,Itelco,https://btsi.com.ph/wp-content/uploads/2018/08/itelco-thalna.jpg,/products/thalna/
assets/products/titlebox.jpg,PlayBox TitleBox Neo,PlayBox,https://btsi.com.ph/wp-content/uploads/2018/08/PlayBox-TitleBox-logo.png,/products/titlebox/
assets/products/traffic.jpg,WinMedia Traffic,WinMedia,https://btsi.com.ph/wp-content/uploads/2018/08/winmedia-traffic.jpg,/products/traffic/
assets/products/ts7100.jpg,Tecsys TS7100 IRD Digital Satellite,Tecsys,https://btsi.com.ph/wp-content/uploads/2018/08/tecsys-ts7100-front.jpg,/products/ts7100/
assets/products/ts8200.jpg,Tecsys TS8200 Digital Media Converter,Tecsys,https://btsi.com.ph/wp-content/uploads/2018/08/tecsys-ts8200-front.jpg,/products/ts8200/
assets/products/ts8300.jpg,Tecsys TS8300 Digital Media Converter,Tecsys,https://btsi.com.ph/wp-content/uploads/2018/08/tecsys-ts8300-front.jpg,/products/ts8300/
assets/products/ts9090-asi-ip.jpg,Tecsys TS9090-ASI/IP Converter,Tecsys,https://btsi.com.ph/wp-content/uploads/2018/08/tecsys-ts9090-ASI-IP.jpg,/products/ts9090-asi-ip/
assets/products/ts9090-hd.jpg,Tecsys TS9090-HD H.264/MPEG-2 Encoder,Tecsys,https://btsi.com.ph/wp-content/uploads/2018/08/tecsys-ts9090-HD_SD_1seg.jpg,/products/ts9090-hd/
assets/products/ts9500-isdb.jpg,Tecsys TS9500-ISDB Digital Modulator,Tecsys,https://btsi.com.ph/wp-content/uploads/2018/08/tecsys-ts9500-isdb.jpg,/products/ts9500-isdb/
assets/products/tv-mic-arm.jpg,Yellowtec m!ka TV Mic Arm,Yellowtec,https://btsi.com.ph/wp-content/uploads/2018/08/yellowtec-mka-mic-arm-tv-silver-onair.jpg,/products/tv-mic-arm/
assets/products/uhf-band.jpg,Aldena UHF Band IV-V DVB-T,Aldena,https://btsi.com.ph/wp-content/uploads/2018/08/UHF-Band-IV-V-button.jpg,/products/uhf-band/
assets/products/upmax-v4-d.jpg,Linear Acoustic UPMAX v4-D Surroundfield Controller,Linear Acoustic,https://btsi.com.ph/wp-content/uploads/2018/08/linear-acoustic-UPMAX.jpg,/products/upmax-v4-d/
assets/products/vhf-band-fm.jpg,Aldena VHF Band FM,Aldena,https://btsi.com.ph/wp-content/uploads/2018/08/VHF-Band-II-button.jpg,/products/vhf-band-fm/
assets/products/vhf-band-i.jpg,Aldena VHF Band I Radio and TV,Aldena,https://btsi.com.ph/wp-content/uploads/2018/08/VHF-Band-I-button.jpg,/products/vhf-band-i/
assets/products/vhf-band-iii.jpg,Aldena VHF Band III DAB and TV,Aldena,https://btsi.com.ph/wp-content/uploads/2018/08/VHF-Band-III-button.jpg,/products/vhf-band-iii/
assets/products/vicoustic-pulsar-panel.jpg,Vicoustic Pulsar Panel,Vicoustic,https://btsi.com.ph/wp-content/uploads/2018/08/vicoustic-pulsar-panel_grande.jpg,/products/vicoustic-pulsar-panel/
assets/products/voco8.jpg,Omnia VOCO 8,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-VOCO-8.jpg,/products/voco8/
assets/products/volt.jpg,Omnia VOLT,Omnia,https://btsi.com.ph/wp-content/uploads/2018/08/omnia-VOLT.jpg,/products/volt/
